,word,read,hinshi,score
255,隆昌,りゅうしょう,名詞,1
256,正しい,ただしい,形容詞,1
257,女傑,じょけつ,名詞,1
258,勧賞,かんしょう,名詞,1
259,落ち着く,おちつく,動詞,1
260,元気,げんき,名詞,1
261,興じる,きょうじる,動詞,1
262,吉左右,きっそう,名詞,1
263,おめでたい,おめでたい,形容詞,1
264,敏速,びんそく,名詞,1
265,際立つ,きわだつ,動詞,1
266,福相,ふくそう,名詞,1
267,偉才,いさい,名詞,1
268,卓才,たくさい,名詞,1
269,嘉する,よみする,動詞,1
270,存命,ぞんめい,名詞,1
271,清清しい,すがすがしい,形容詞,1
272,聡い,さとい,形容詞,1
273,高貴,こうき,名詞,1
274,快諾,かいだく,名詞,1
275,偉物,えらぶつ,名詞,1
276,知徳,ちとく,名詞,1
277,愉楽,ゆらく,名詞,1
278,卓然,たくぜん,名詞,1
279,チャリティー,チャリティー,名詞,1
280,秀麗,しゅうれい,名詞,1
281,頑強,がんきょう,名詞,1
282,貴重,きちょう,名詞,1
283,意気,いき,名詞,1
284,卓識,たくしき,名詞,1
285,聖哲,せいてつ,名詞,1
286,偉人,いじん,名詞,1
287,豪気,ごうき,名詞,1
288,秀作,しゅうさく,名詞,1
289,聡明,そうめい,名詞,1
290,栄光,えいこう,名詞,1
291,寿,じゅ,名詞,1
292,炯眼,けいがん,名詞,1
293,最善,さいぜん,名詞,1
294,新撰,しんせん,名詞,1
295,思う様,おもうさま,副詞,1
296,栄華,えいが,名詞,1
297,歓楽,かんらく,名詞,1
298,名僧,めいそう,名詞,1
299,先賢,せんけん,名詞,1
300,速写,そくしゃ,名詞,1
301,厚遇,こうぐう,名詞,1
302,能筆,のうひつ,名詞,1
303,分相応,ぶんそうおう,名詞,1
304,賢哲,けんてつ,名詞,1
305,傑物,けつぶつ,名詞,1
306,痛快,つうかい,名詞,1
307,力強い,ちからづよい,形容詞,1
308,可愛い,かわいい,形容詞,1
309,欣快,きんかい,名詞,1
310,美景,びけい,名詞,1
311,慶する,けいする,動詞,1
312,良質,りょうしつ,名詞,1
313,清適,せいてき,名詞,1
314,逸品,いっぴん,名詞,1
315,エクスタシー,エクスタシー,名詞,1
316,優賞,ゆうしょう,名詞,1
317,利く,きく,動詞,1
318,美しい,うつくしい,形容詞,1
319,好逑,こうきゅう,名詞,1
320,快報,かいほう,名詞,1
321,慶,けい,名詞,1
322,朗報,ろうほう,名詞,1
323,情深い,なさけぶかい,形容詞,1
324,援護,えんご,名詞,1
325,男冥利,おとこみょうり,名詞,1
326,達見,たっけん,名詞,1
327,優に,ゆうに,副詞,1
328,優良,ゆうりょう,名詞,1
329,快速,かいそく,名詞,1
330,医する,いする,動詞,1
331,雀躍,じゃくやく,名詞,1
332,偉材,いざい,名詞,1
333,秀吟,しゅうぎん,名詞,1
334,高僧,こうそう,名詞,1
335,加勢,かせい,名詞,1
336,嘉賞,かしょう,名詞,1
337,あどけない,あどけない,形容詞,1
338,幅利き,はばきき,名詞,1
339,麗質,れいしつ,名詞,1
340,瑞相,ずいそう,名詞,1
341,隆盛,りゅうせい,名詞,1
342,欣幸,きんこう,名詞,1
343,妙案,みょうあん,名詞,1
344,懇意,こんい,名詞,1
345,祝賀,しゅくが,名詞,1
346,誠実,せいじつ,名詞,1
347,良好,りょうこう,名詞,1
348,高足,こうそく,名詞,1
349,偉勲,いくん,名詞,1
350,夢見心地,ゆめみごこち,名詞,1
351,吉,きち,名詞,1
352,賑わしい,にぎわしい,形容詞,1
353,尊書,そんしょ,名詞,1
354,いそいそ,いそいそ,副詞,1
355,晴がましい,はれがましい,形容詞,1
356,香ばしい,こうばしい,形容詞,1
357,寛,かん,名詞,1
358,雄編,ゆうへん,名詞,1
359,好いたらしい,すいたらしい,形容詞,1
360,慶兆,けいちょう,名詞,1
361,士君子,しくんし,名詞,1
362,花恥しい,はなはずかしい,形容詞,1
363,好況,こうきょう,名詞,1
364,慶賀,けいが,名詞,1
365,若若しい,わかわかしい,形容詞,1
366,浄机,じょうき,名詞,1
367,慧眼,けいがん,名詞,1
368,尤,ゆう,名詞,1
369,名作,めいさく,名詞,1
370,栄,えい,名詞,1
371,新緑,しんりょく,名詞,1
372,すばしこい,すばしこい,形容詞,1
373,瑞兆,ずいちょう,名詞,1
374,褒め者,ほめもの,名詞,1
375,猪口才,ちょこざい,名詞,1
376,令名,れいめい,名詞,1
377,先哲,せんてつ,名詞,1
378,心頼み,こころだのみ,名詞,1
379,愛でる,めでる,動詞,1
380,感賞,かんしょう,名詞,1
381,賛嘆,さんたん,名詞,1
382,幸福,こうふく,名詞,1
